alkimi;$ads;5;60%;42%;5%;40%;0;0;1;;0;6;-21;1;0;39;28;29;44;29;42;2;1%;24%;34%
hedera-hashgraph;hbar;4;43%;24%;22%;0%;0;0;0;;1;11;-83;0;1;40;68;44;42;42;33;2;6%;7%;0%
helium;hnt;10;63%;30%;43%;100%;100;100;111;;11;3;-62;0;1;49;62;3;44;51;90;2;2%;6%;10%
funfair;fun;8;43%;49%;44%;7%;1;100;0;;10;0;2;0;3;76;72;79;48;51;46;2;8%;-3%;-8%
lossless;lss;7;40%;34%;43%;35%;1;100;100;;10;8;-49;1;2;57;55;71;40;51;49;0;0%;-1%;-5%
ampleforth;ampl;7;45%;56%;-1%;13%;110;0;0;;0;6;19;0;0;36;32;28;50;25;32;3;0%;12%;-15%
wanchain;wan;6;32%;38%;31%;57%;0;10;1;;10;6;-41;0;2;81;57;20;45;44;53;1;3%;-7%;-11%
zcoin;firo;5;26%;29%;6%;25%;0;0;0;;10;5;-62;0;2;84;50;77;41;38;41;2;4%;1%;5%
ripple;xrp;7;63%;39%;0%;0%;101;0;0;;0;16;-38;0;2;77;62;10;47;40;23;3;-9%;48%;39%
thorchain;rune;7;149%;66%;24%;0%;110;0;0;;0;17;58;0;1;32;73;37;58;36;25;0;3%;-48%;-67%
prometeus;prom;5;11%;36%;26%;11%;0;0;100;;1;1;-47;0;0;26;38;53;47;44;43;1;5%;-14%;-13%
aave;aave;6;45%;69%;22%;0%;11;0;0;;0;6;62;0;0;42;46;38;53;42;32;2;2%;0%;-5%
strike;strk;7;30%;58%;28%;17%;1;100;0;;10;2;34;1;0;53;50;51;50;44;38;1;10%;-21%;-20%
orbs;orbs;9;63%;106%;63%;13%;11;110;0;;10;6;157;1;0;23;0;51;70;57;36;1;-1%;-31%;-72%
compound-governance-token;comp;8;123%;41%;44%;15%;101;1;110;;1;10;-31;0;1;59;55;23;47;48;38;3;-2%;123%;61%
fetch-ai;fet;5;35%;50%;32%;0%;10;0;0;;10;21;2;0;0;50;51;30;47;47;31;2;2%;12%;7%
havven;snx;8;50%;29%;73%;0%;0;1;100;;10;8;-71;0;2;75;65;25;44;51;31;2;29%;5%;13%
eos;eos;4;56%;32%;10%;0%;0;0;0;;10;6;-58;0;1;70;54;26;36;39;27;2;17%;4%;-2%
everipedia;iq;10;42%;48%;35%;51%;10;1;101;;1;11;-7;0;2;48;63;71;48;48;50;3;10%;62%;115%
nakamoto-games;naka;11;144%;101%;36%;-1%;111;10;100;;0;47;163;10;1;20;68;15;79;47;26;0;-2%;-2%;-1%
trust-wallet-token;twt;7;39%;102%;59%;0%;1;110;0;;10;5;185;1;0;35;26;29;63;59;34;2;-4%;-28%;-44%
looksrare;looks;12;39%;90%;71%;8%;11;111;100;;10;5;134;1;1;63;47;53;50;60;41;2;1%;-3%;13%
project-galaxy;gal;8;25%;44%;49%;0%;10;10;0;;0;1;-18;0;2;63;58;33;46;46;31;2;7%;-7%;-4%
curve-dao-token;crv;5;69%;39%;10%;0%;0;0;0;;10;9;-38;0;2;59;56;31;39;39;29;3;4%;6%;12%
wrapped-bitcoin;wbtc;9;21%;63%;40%;4%;1;110;100;;10;34;39;0;2;56;76;37;54;50;36;2;0%;15%;29%
audius;audio;9;44%;29%;76%;54%;0;1;110;;11;10;-74;0;3;89;60;58;36;52;50;2;-10%;10%;4%
boba-network;boba;7;35%;25%;57%;0%;1;10;0;;10;2;-80;1;2;57;70;15;31;50;20;0;0%;-7%;-40%
victoria-vr;vr;11;67%;33%;79%;52%;0;11;10;;10;5;-70;0;2;74;6;96;43;56;49;2;0%;-2%;17%
marcopolo;map;7;46%;39%;18%;0%;1;100;0;;10;15;-38;0;1;74;31;38;36;42;23;3;5%;21%;17%
persistence;xprt;8;95%;37%;16%;40%;1;0;1;;11;0;-52;0;3;79;62;79;40;44;49;2;2%;6%;4%
lukso-token;lyxe;7;47%;22%;16%;100%;0;100;1;;10;24;-71;0;2;58;48;79;37;45;54;2;-1%;-39%;16%
