tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
0x;zrx;8;51%;7%;80%;57%;0;11;101;;11;10;-143;0;0;47;44;38;36;51;58;1;-1%;-12%;-13%
elrond-erd-2;egld;8;65%;10%;48%;72%;0;1;101;;11;3;-131;0;1;28;63;49;29;45;58;2;0%;8%;0%
ravencoin;rvn;8;48%;9%;74%;42%;0;11;110;;11;1;-133;0;0;44;45;53;31;50;49;2;-2%;-3%;-7%
celo;celo;8;38%;13%;69%;52%;0;11;110;;11;4;-118;0;1;48;58;46;39;49;54;1;-3%;1%;-24%
filecoin;fil;8;57%;6%;86%;42%;0;11;110;;11;6;-141;0;0;42;47;37;32;47;50;2;1%;15%;2%
kyber-network-crystal;knc;8;74%;22%;77%;44%;0;11;101;;11;2;-100;0;0;38;51;36;40;50;53;2;-1%;2%;-4%
wilder-world;wild;8;85%;11%;38%;45%;0;1;110;;1;15;-130;10;0;49;55;48;33;37;46;2;0%;-3%;1%
bonfida;fida;8;112%;17%;90%;39%;0;111;100;;10;3;-110;0;0;36;39;47;31;61;50;3;1%;16%;48%
fantom;ftm;8;81%;19%;92%;51%;0;11;110;;11;12;-102;0;0;51;54;46;32;54;54;2;11%;10%;14%
ethereum-pow-iou;ethw;8;72%;13%;55%;89%;0;10;111;;11;0;-119;0;1;50;56;50;28;49;60;1;0%;-13%;0%
bifrost;bfc;8;25%;25%;30%;45%;0;100;1;;11;3;-88;0;1;27;13;97;40;42;47;1;-1%;-44%;-47%
chainx;pcx;8;2782%;28%;44%;45%;0;1;100;;11;2;-71;0;3;65;66;60;29;47;50;2;-2%;3%;0%
radiant-capital;rdnt;8;54%;5%;64%;74%;0;1;111;;11;29;-151;10;0;45;52;48;35;48;64;2;5%;17%;2%
energy-web-token;ewt;8;37%;17%;64%;33%;0;11;100;;11;3;-99;0;1;54;48;98;39;52;49;3;0%;5%;38%
auction;auction;8;174%;50%;70%;19%;1;110;100;;10;5;1;0;1;23;24;58;50;56;38;4;1%;31%;418%
ethereum-push-notification-service;push;8;48%;10%;66%;69%;0;1;110;;11;5;-134;0;0;47;52;42;33;48;61;3;0%;0%;1%
kryll;krl;8;17%;13%;82%;3%;0;11;0;;11;0;-120;0;2;37;66;89;31;51;45;1;3%;-8%;-2%
dia-data;dia;8;28%;11%;79%;48%;0;11;110;;11;6;-129;0;0;55;32;24;36;53;50;1;-4%;-1%;-2%
rocket-pool;rpl;8;118%;14%;103%;76%;0;11;110;;11;19;-110;10;0;34;-4;9;25;76;78;3;19%;124%;82%
phantasma;soul;8;96%;9%;80%;47%;0;11;100;;10;5;-137;0;1;40;34;66;29;55;51;3;0%;0%;10%
the-virtua-kolect;tvk;8;53%;10%;69%;24%;0;11;100;;11;9;-128;0;1;52;62;43;30;50;47;3;0%;4%;6%
coti;coti;8;64%;13%;88%;47%;0;11;110;;11;4;-124;0;0;51;50;42;34;54;52;2;0%;10%;-3%
burger-swap;burger;8;41%;7%;50%;46%;0;1;101;;11;0;-141;0;1;51;68;46;32;46;52;3;1%;9%;2%
aergo;aergo;8;39%;13%;73%;54%;0;11;110;;11;4;-124;0;0;40;39;50;37;52;51;2;-11%;-19%;-3%
ankr;ankr;8;56%;4%;78%;45%;0;11;110;;11;5;-149;10;0;40;55;50;31;48;52;2;-4%;4%;5%
oasis-network;rose;8;44%;10%;95%;40%;0;11;110;;11;7;-130;0;1;46;43;58;35;58;51;2;3%;9%;-4%
huobi-token;ht;8;25%;11%;77%;42%;0;11;100;;11;3;-121;0;1;45;62;46;27;52;59;3;-1%;-1%;1%
contentos;cos;8;38%;9%;54%;56%;0;10;101;;11;9;-132;0;2;45;76;60;31;46;52;2;3%;30%;2%
marlin;pond;8;20%;27%;47%;60%;0;10;1;;1;9;-93;0;2;67;56;50;44;46;52;2;12%;9%;-9%
vethor-token;vtho;8;59%;12%;89%;42%;0;11;110;;11;7;-123;0;0;39;55;48;32;51;51;2;3%;6%;-4%
fc-barcelona-fan-token;bar;8;27%;45%;34%;17%;10;0;0;;11;0;-18;0;2;62;86;50;38;45;41;0;-12%;-8%;-35%
syscoin;sys;8;68%;18%;69%;30%;0;11;100;;11;10;-107;0;1;44;62;38;35;48;47;1;-1%;-6%;-9%
beefy-finance;bifi;8;39%;18%;97%;42%;0;11;110;;11;18;-109;10;1;56;43;33;32;60;52;2;0%;3%;-60%
theta-token;theta;8;47%;11%;84%;41%;0;11;100;;11;6;-131;0;1;43;63;42;36;50;52;2;-1%;7%;-16%
radix;xrd;8;73%;31%;33%;78%;0;0;10;;1;8;-81;0;2;72;69;31;43;43;53;1;2%;-4%;-37%
polymesh;polyx;8;51%;11%;58%;84%;0;11;101;;11;13;-131;0;0;45;55;35;35;47;60;1;1%;-9%;-22%
dego-finance;dego;8;31%;16%;76%;8%;0;111;100;;10;8;-109;0;0;50;19;42;39;60;40;3;22%;-36%;-7%
ovr;ovr;8;81%;16%;22%;58%;0;0;101;;1;4;-110;0;2;55;63;65;33;35;53;2;-1%;-5%;-3%
airswap;ast;8;57%;14%;75%;0%;0;11;100;;11;7;-115;0;1;47;63;36;37;51;41;1;0%;-2%;-19%
constitutiondao;people;8;77%;6%;71%;63%;0;1;111;;11;6;-137;0;0;42;55;28;29;49;57;2;1%;21%;11%
everscale;ever;8;33%;17%;64%;100%;0;1;11;;11;11;-113;0;1;40;69;35;42;51;65;3;6%;23%;43%
dfyn-network;dfyn;8;130%;11%;62%;3%;0;10;0;;10;7;-129;0;2;37;66;73;26;48;43;1;1%;1%;-7%
gifto;gto;7;74%;0%;22%;60%;0;0;1;;1;14;-170;0;2;62;63;43;31;32;52;2;0%;3%;28%
gnosis;gno;7;26%;14%;60%;13%;0;10;100;;10;1;-115;0;1;43;71;39;39;46;43;2;1%;23%;5%
