tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
vulcan-forged;pyr;14;26%;107%;101%;101%;11;111;111;;10;3;373;0;0;46;6;37;64;75;68;4;1%;50%;768%
amber;amb;14;51%;74%;77%;87%;1;111;111;;11;11;72;0;2;57;70;54;49;56;61;1;-5%;2%;-25%
euler;eul;13;57%;58%;26%;101%;11;101;111;;1;4;31;0;1;75;24;38;50;41;71;2;-16%;-7%;1%
bluzelle;blz;13;655%;96%;104%;54%;111;111;110;;0;14;140;0;0;7;6;28;75;79;54;4;4%;28%;46%
trias-token;trias;13;62%;49%;76%;98%;101;111;111;;10;34;-10;0;1;50;66;54;54;57;62;2;1%;16%;3%
voxies;voxel;12;25%;45%;84%;58%;0;111;110;;11;4;-30;0;1;61;33;32;42;61;56;2;0%;-10%;-39%
gitcoin;gtc;12;49%;26%;83%;58%;0;111;111;;10;2;-83;0;1;62;-11;22;41;61;58;4;5%;1296%;456%
unmarshal;marsh;12;79%;22%;91%;89%;1;111;111;;10;15;-93;0;2;57;42;71;38;64;57;2;0%;-2%;5%
bancor;bnt;12;77%;55%;66%;44%;10;111;110;;10;13;24;0;0;24;33;43;50;54;49;2;-12%;-39%;16%
unifi-protocol-dao;unfi;12;639%;124%;81%;24%;11;111;100;;0;7;294;0;1;-7;34;64;87;61;49;3;-5%;30%;64%
dodo;dodo;12;35%;42%;54%;81%;10;1;111;;11;8;-39;0;2;45;63;61;44;48;59;3;1%;3%;13%
jasmycoin;jasmy;12;36%;27%;97%;69%;1;111;111;;11;7;-82;0;1;63;46;34;41;59;62;2;-5%;14%;4%
cudos;cudos;11;108%;83%;73%;0%;111;11;100;;1;9;92;0;1;29;59;39;65;54;41;1;-1%;20%;5%
cere-network;cere;11;18%;48%;79%;43%;1;11;110;;11;10;-8;0;2;71;56;47;41;50;52;2;1%;1%;2%
livepeer;lpt;11;195%;82%;98%;64%;10;11;111;;1;7;94;0;0;25;21;49;59;65;65;3;2%;118%;31%
the-open-network;ton;11;73%;105%;60%;37%;11;111;100;;10;8;259;1;1;23;65;23;63;62;50;2;8%;-5%;-9%
lossless;lss;11;28%;18%;102%;100%;0;11;111;;11;12;-102;0;1;60;20;18;37;72;76;3;10%;13%;0%
blockport;bux;11;50%;18%;59%;82%;0;1;111;;1;1;-115;0;1;63;43;16;37;45;60;0;0%;-42%;-23%
aragon;ant;11;15%;70%;64%;17%;111;110;100;;0;35;71;10;1;77;42;36;58;52;43;1;-1%;-5%;-13%
elastos;ela;11;41%;102%;82%;36%;111;110;0;;10;11;192;0;0;38;-17;51;65;72;39;4;2%;0%;52%
origintrail;trac;11;27%;43%;79%;41%;1;111;110;;11;16;-28;0;1;60;41;36;46;64;46;2;-11%;28%;9%
quick;quick;11;312%;36%;58%;50%;1;101;110;;11;9;-73;0;1;16;74;43;46;52;51;0;0%;-83%;-61%
ethereum;eth;11;26%;9%;74%;81%;0;11;111;;11;14;-134;10;1;43;77;42;39;45;57;2;-1%;6%;26%
bitcoin;btc;11;27%;10%;80%;58%;100;11;110;;11;34;-129;10;1;40;74;44;40;45;52;1;-42%;14%;19%
presearch;pre;11;39%;23%;88%;100%;0;11;111;;11;12;-102;10;2;56;36;67;39;62;67;2;0%;-5%;10%
safepal;sfp;11;49%;103%;49%;42%;111;110;1;;10;9;219;0;0;32;38;27;67;52;46;1;0%;-2%;-21%
arpa;arpa;11;55%;19%;60%;65%;100;111;111;;11;14;-104;0;1;60;24;46;44;53;57;1;-9%;-45%;-87%
paribus;pbx;11;475%;37%;86%;100%;0;111;111;;11;11;-44;0;1;39;56;40;45;62;68;2;7%;2%;10%
frontier-token;front;11;15%;101%;65%;49%;11;110;101;;10;7;119;0;0;36;36;36;53;55;53;3;0%;41%;77%
stellar;xlm;11;90%;42%;101%;95%;100;11;111;;11;17;-26;10;0;38;13;28;51;73;75;3;2%;23%;64%
ultra;uos;11;38%;-1%;47%;86%;0;1;111;;1;4;-191;0;2;55;66;64;33;38;57;2;1%;3%;-4%
fsn;fsn;11;43%;29%;89%;23%;1;111;110;;10;24;-72;0;2;47;70;58;41;62;48;0;-8%;1%;-1%
avalaunch;xava;11;70%;18%;72%;72%;0;11;11;;11;11;-104;0;2;53;64;60;32;50;53;2;0%;-5%;14%
polkadot;dot;11;35%;5%;75%;77%;0;11;111;;11;3;-148;0;1;41;63;41;33;45;58;2;1%;8%;0%
coin98;c98;11;33%;25%;67%;65%;0;111;110;;11;1;-84;0;1;61;46;51;41;53;55;4;2%;6%;21%
exeedme;xed;11;42%;23%;91%;69%;1;11;110;;10;11;-95;0;1;60;28;51;37;66;58;2;0%;-8%;0%
lido-dao;ldo;11;55%;10%;84%;75%;0;11;111;;11;14;-141;0;1;44;80;53;38;49;57;0;-3%;-5%;-7%
gods-unchained;gods;11;41%;50%;53%;59%;10;1;111;;1;1;-5;0;1;67;46;47;48;50;59;3;1%;8%;6%
superfarm;super;11;64%;15%;86%;79%;0;111;111;;11;10;-105;0;0;52;32;41;34;63;66;2;0%;-5%;-50%
concierge-io;ava;11;45%;19%;44%;74%;10;1;111;;1;3;-109;10;1;41;85;53;39;39;59;2;1%;8%;-3%
klever;klv;11;48%;33%;82%;59%;1;111;110;;11;12;-52;0;1;59;48;47;36;59;57;3;-2%;0%;10%
league-of-kingdoms;loka;11;42%;12%;61%;41%;0;111;101;;10;5;-118;0;1;60;43;35;33;52;50;2;3%;-4%;-38%
pax-gold;paxg;11;4%;53%;83%;11%;1;111;100;;10;35;7;0;2;45;71;62;49;56;45;2;0%;2%;3%
injective-protocol;inj;11;40%;11%;63%;62%;100;11;111;;1;35;-139;10;1;47;64;38;45;49;56;2;2%;10%;9%
bepro-network;bepro;11;107%;7%;101%;88%;0;11;111;;11;11;-143;0;1;43;69;22;30;57;68;2;0%;-1%;-2%
dforce-token;df;11;42%;19%;87%;78%;0;111;111;;11;13;-105;0;0;52;44;50;34;63;62;2;0%;22%;11%
numbers-protocol;num;11;54%;16%;96%;97%;0;11;111;;11;3;-116;10;1;69;52;22;35;56;75;4;5%;0%;13%
beldex;bdx;11;102%;19%;56%;88%;0;11;111;;1;14;-100;0;2;41;64;56;32;35;61;4;0%;0%;3%
world-mobile-token;wmt;10;48%;29%;81%;87%;0;11;111;;11;2;-74;0;1;49;62;43;41;55;68;0;-3%;-6%;-29%
verasity;vra;10;42%;20%;62%;65%;0;1;110;;11;12;-99;0;2;60;74;50;40;48;55;3;-1%;7%;13%
solana;sol;10;68%;29%;89%;55%;100;11;110;;1;4;-67;10;1;42;61;53;44;50;56;2;3%;6%;-4%
helium;hnt;10;74%;46%;55%;41%;110;10;101;;0;3;-16;0;0;44;48;35;47;45;49;1;-2%;-14%;-15%
orbs;orbs;10;47%;11%;39%;98%;0;10;11;;11;5;-126;0;2;38;75;83;35;45;56;0;-2%;-11%;-42%
fetch-ai;fet;10;37%;102%;74%;58%;11;110;1;;10;23;211;0;1;56;27;38;57;62;54;4;8%;3%;20%
havven;snx;10;72%;22%;102%;83%;0;11;111;;11;6;-87;0;0;41;4;23;42;81;69;3;-2%;56%;70%
nakamoto-games;naka;10;43%;64%;84%;32%;101;11;101;;10;41;46;10;1;57;7;48;59;68;50;3;-1%;0%;7%
wrapped-bitcoin;wbtc;10;27%;10%;79%;19%;100;11;110;;11;34;-130;10;1;40;77;52;40;45;43;2;1%;14%;22%
hackenai;hai;10;51%;24%;80%;66%;0;11;110;;11;18;-79;10;2;43;65;68;40;52;56;2;4%;0%;-3%
origin-dollar;ousd;10;0%;58%;56%;22%;11;1;0;;0;22;40;0;2;52;76;67;51;50;45;2;-1%;-2%;29%
lever;lever;10;29%;60%;59%;26%;11;1;100;;1;1;32;0;2;66;55;58;48;52;51;2;1%;5%;-10%
monero;xmr;10;28%;10%;92%;53%;100;11;110;;11;7;-131;0;0;36;54;36;38;57;53;2;-1%;6%;3%
selfkey;key;10;61%;22%;76%;0%;1;111;100;;10;8;-94;0;1;61;30;42;41;63;43;1;0%;-35%;-52%
omisego;omg;10;63%;10%;27%;54%;0;1;111;;11;5;-124;0;3;57;60;63;31;43;51;3;12%;7%;10%
smooth-love-potion;slp;10;32%;8%;99%;56%;0;11;110;;11;0;-138;0;3;59;58;60;31;54;55;2;0%;5%;4%
nkn;nkn;10;31%;19%;90%;54%;0;111;111;;10;11;-110;0;1;59;30;38;43;62;55;3;1%;26%;-17%
dexe;dexe;10;15%;29%;72%;56%;0;1;111;;11;8;-70;0;1;85;49;50;41;51;54;2;0%;11%;21%
morpheus-network;mnw;10;18%;44%;54%;13%;10;11;100;;10;19;-41;0;2;90;58;40;43;48;41;1;-7%;24%;33%
pstake-finance;pstake;10;48%;12%;60%;25%;0;111;100;;10;7;-117;0;2;67;67;55;31;51;47;2;0%;1%;4%
mobox;mbox;10;35%;11%;80%;39%;0;11;110;;11;2;-133;0;2;58;66;45;33;47;52;0;2%;0%;-17%
h2o-dao;h2o;10;25%;10%;82%;51%;0;11;110;;11;2;-130;0;1;34;80;52;35;46;50;2;0%;-1%;-3%
serum;srm;10;1101%;16%;100%;93%;0;11;111;;11;0;-111;0;1;42;41;56;31;57;64;2;0%;16%;8%
pancakeswap-token;cake;10;38%;6%;81%;66%;0;11;110;;11;4;-143;0;2;58;93;24;28;47;85;2;3%;8%;-12%
avalanche-2;avax;10;61%;9%;74%;77%;0;11;111;;11;9;-135;0;1;34;72;32;31;47;59;2;0%;2%;-2%
chainlink;link;10;52%;27%;100%;100%;0;111;111;;11;6;-74;0;0;38;49;36;43;62;71;1;0%;-19%;-16%
reserve-rights-token;rsr;10;53%;12%;78%;53%;0;11;110;;11;1;-130;0;2;63;57;40;35;48;54;2;-3%;15%;6%
iotex;iotx;10;77%;10%;78%;58%;0;11;110;;11;3;-126;0;2;39;65;66;31;51;55;3;2%;33%;41%
storj;storj;10;79%;15%;103%;79%;0;11;111;;11;5;-116;0;0;55;20;22;35;72;60;4;1%;25%;-1%
iota;miota;10;36%;44%;87%;17%;1;111;110;;10;3;-23;0;0;36;41;45;47;69;48;2;3%;-12%;-19%
tezos;xtz;10;37%;12%;95%;84%;0;11;111;;11;1;-124;0;0;49;54;52;36;56;68;1;-1%;2%;2%
decentral-games;dg;10;215%;27%;52%;90%;0;1;111;;1;6;-69;0;1;27;78;37;39;40;72;0;3%;-25%;-47%
request-network;req;10;39%;8%;75%;85%;0;11;111;;11;4;-136;0;0;44;43;38;33;54;67;2;0%;-9%;-28%
sylo;sylo;10;44%;40%;61%;66%;1;110;11;;10;0;-36;0;0;42;0;55;42;54;48;3;0%;-6%;42%
gensokishis-metaverse;mv;10;369%;27%;76%;68%;0;11;111;;11;0;-74;0;1;46;56;49;26;49;63;0;0%;-3%;1%
zoid-pay;zpay;10;3598%;24%;90%;100%;0;111;111;;11;2;-77;0;0;40;46;3;25;60;84;1;-1%;-6%;-24%
numeraire;nmr;10;103%;108%;50%;26%;11;110;1;;10;12;391;0;0;14;12;32;68;52;35;1;-8%;-21%;-48%
clover-finance;clv;10;37%;15%;64%;23%;0;11;110;;11;3;-123;0;2;48;57;56;37;52;42;1;2%;0%;-11%
concentrated-voting-power;cvp;10;40%;15%;100%;91%;0;11;111;;11;9;-117;0;0;45;45;23;33;61;64;0;-1%;-5%;-3%
velo;velo;10;79%;64%;99%;52%;1;111;110;;10;6;42;0;1;61;44;47;50;69;56;1;4%;78%;12%
swipe;sxp;10;83%;10%;73%;57%;0;11;111;;11;14;-132;0;1;43;58;41;30;46;52;1;-9%;-2%;6%
certik;ctk;10;53%;20%;86%;94%;0;111;111;;11;0;-102;0;0;40;32;36;37;64;65;1;-43%;10%;2%
adex;adx;10;26%;19%;93%;93%;0;11;111;;11;12;-103;0;0;48;33;35;39;64;68;3;1%;4%;-10%
centrifuge;cfg;10;79%;26%;93%;8%;101;111;100;;10;8;-86;10;0;36;17;34;46;64;46;3;1%;15%;-19%
vectorspace;vxv;10;71%;9%;71%;88%;0;11;111;;11;14;-132;0;0;44;47;52;35;53;58;0;0%;-12%;-38%
bella-protocol;bel;10;45%;28%;76%;48%;1;111;101;;10;9;-75;0;0;46;43;31;45;57;55;3;2%;23%;-4%
sweatcoin;sweat;10;91%;106%;86%;21%;11;111;101;;10;2;216;0;0;29;29;46;66;72;47;3;0%;-5%;59%
iris-network;iris;10;37%;15%;70%;88%;0;11;111;;11;19;-118;0;1;57;36;50;37;54;59;2;-4%;-21%;-34%
perpetual-protocol;perp;10;46%;26%;90%;52%;1;111;101;;10;9;-89;0;1;58;28;48;42;63;56;3;0%;14%;20%
optimism;op;10;52%;33%;69%;24%;10;11;110;;1;15;-60;10;1;56;50;40;43;47;46;2;-1%;6%;-3%
radicle;rad;10;37%;11%;81%;50%;0;111;110;;11;4;-120;0;1;66;33;26;38;57;53;3;1%;91%;-45%
bakerytoken;bake;10;58%;34%;90%;55%;10;11;110;;11;5;-60;0;0;46;49;50;43;56;55;2;3%;16%;45%
dimitra;dmtr;10;224%;15%;76%;99%;0;1;111;;11;22;-118;0;1;53;66;30;35;51;66;3;-6%;2%;15%
anchor-protocol;anc;10;222%;29%;69%;89%;0;11;11;;11;0;-84;0;2;78;57;43;44;52;61;0;-3%;-6%;-8%
mxc;mxc;10;159%;21%;57%;100%;0;1;111;;11;0;-92;0;1;41;72;38;23;49;63;2;1%;-4%;21%
pirate-chain;arrr;10;40%;26%;23%;79%;10;0;11;;1;2;-84;0;2;55;57;80;39;36;52;1;0%;1%;6%
cocos-bcx;cocos;10;123%;28%;90%;51%;1;111;110;;10;11;-75;0;2;72;54;56;37;65;53;3;1%;4%;-15%
xcad-network;xcad;10;191%;59%;64%;12%;10;11;100;;0;13;29;10;1;25;66;36;53;49;43;1;-2%;-4%;-17%
aurora-dao;idex;10;57%;19%;56%;69%;0;101;111;;11;12;-105;0;2;62;73;43;37;54;58;1;2%;3%;-21%
velas;vlx;10;237%;11%;89%;94%;0;11;111;;11;0;-126;0;0;19;29;37;21;55;68;3;-2%;14%;13%
biswap;bsw;10;113%;12%;99%;86%;0;11;111;;11;0;-129;0;1;36;66;52;22;53;64;2;0%;4%;-19%
band-protocol;band;10;36%;15%;77%;78%;0;11;111;;11;7;-111;0;0;49;52;42;39;53;61;3;0%;1%;25%
chiliz;chz;10;48%;5%;76%;53%;0;11;110;;11;3;-141;0;1;45;69;44;26;47;52;0;1%;-4%;-4%
loki-network;oxen;10;116%;42%;42%;82%;0;10;11;;10;1;-23;0;1;38;77;46;44;45;48;0;-1%;-1%;-3%
calamari-network;kma;10;180%;19%;101%;77%;0;11;111;;11;5;-104;0;0;52;17;7;29;60;61;2;-1%;0%;-4%
multichain;multi;10;699%;19%;32%;74%;0;1;111;;11;19;-107;10;3;60;60;69;20;34;57;2;80%;-1%;-21%
wrapped-nxm;wnxm;9;11%;30%;29%;49%;100;0;101;;1;44;-75;10;3;70;73;58;52;41;51;1;1%;-1%;9%
maker;mkr;9;101%;62%;5%;89%;111;100;1;;0;17;39;0;0;30;44;19;60;44;59;3;1%;23%;1%
dydx;dydx;9;21%;52%;43%;57%;10;0;101;;1;10;1;0;2;77;57;44;49;46;54;2;-3%;14%;-4%
energi;nrg;9;387%;42%;71%;21%;0;1;110;;11;2;-36;0;2;19;80;78;46;53;48;1;7%;1%;-12%
ark;ark;9;46%;84%;86%;34%;1;111;100;;10;3;108;0;0;39;19;54;56;71;51;2;-32%;-22%;-11%
tellor;trb;9;83%;106%;16%;54%;11;100;1;;0;6;229;1;0;31;37;53;65;44;50;2;-2%;66%;-6%
aleph;aleph;9;37%;34%;18%;37%;100;0;0;;1;7;-86;10;2;25;69;71;46;38;48;2;1%;0%;2%
bifrost-native-coin;bnc;9;38%;54%;43%;52%;10;0;101;;1;13;16;10;1;47;52;65;49;39;53;2;-4%;-14%;15%
tron;trx;9;14%;46%;55%;3%;101;110;100;;10;21;-18;0;1;42;57;34;53;51;39;2;1%;5%;-7%
alkimi;$ads;9;60%;73%;58%;6%;11;1;100;;1;8;82;0;0;36;43;25;49;51;38;1;-2%;4%;-7%
hedera-hashgraph;hbar;9;43%;25%;26%;72%;10;0;11;;1;11;-85;10;1;37;58;36;41;36;52;0;-2%;-14%;-28%
zcoin;firo;9;32%;20%;62%;47%;0;11;100;;11;5;-91;0;2;61;70;34;39;47;49;2;99%;7%;1%
prometeus;prom;9;39%;114%;62%;25%;11;110;0;;10;4;519;0;0;23;-10;51;71;54;35;4;0%;20%;701%
aave;aave;9;57%;14%;88%;66%;0;11;110;;11;6;-118;0;1;38;67;47;39;48;56;0;0%;-4%;-10%
compound-governance-token;comp;9;153%;19%;49%;61%;100;10;101;;1;17;-93;10;1;29;60;33;41;44;54;2;1%;7%;-3%
project-galaxy;gal;9;20%;11%;67%;69%;0;1;111;;11;2;-123;0;1;71;52;20;41;49;60;3;-1%;108%;43%
curve-dao-token;crv;9;140%;13%;50%;81%;0;1;111;;11;8;-116;0;1;28;80;39;29;43;61;2;0%;6%;-6%
audius;audio;9;43%;6%;86%;59%;0;11;111;;11;10;-145;0;0;55;51;30;34;54;57;3;-14%;22%;-6%
marcopolo;map;9;70%;17%;59%;85%;0;1;111;;11;15;-99;10;1;29;67;34;26;51;60;0;-8%;-33%;-32%
cirus;cirus;9;27%;53%;9%;39%;10;100;1;;0;7;8;0;1;73;25;54;42;36;41;2;2%;3%;-1%
yfii-finance;yfii;9;163%;14%;73%;38%;0;111;101;;10;6;-110;0;1;23;58;39;25;55;52;0;1%;-7%;-11%
matic-network;matic;9;61%;13%;85%;49%;0;11;110;;11;12;-126;0;1;39;72;38;33;49;53;2;0%;4%;-4%
morpheus-labs;mitx;9;57%;42%;62%;0%;1;110;0;;10;14;-31;0;2;94;35;56;44;56;39;0;1%;0%;-3%
aelf;elf;9;23%;86%;43%;23%;11;110;0;;0;33;150;10;0;47;36;54;58;47;33;0;0%;-17%;-28%
reef;reef;9;57%;16%;92%;66%;0;11;110;;11;2;-109;0;0;48;45;41;34;58;60;2;0%;22%;9%
status;snt;9;34%;13%;71%;60%;0;10;11;;10;1;-119;0;1;51;50;77;40;50;52;1;0%;2%;1%
vega-protocol;vega;9;151%;77%;72%;65%;1;111;10;;11;8;87;0;0;34;44;13;56;59;53;1;6%;-4%;-56%
nexo;nexo;9;16%;11%;33%;74%;0;10;101;;10;0;-138;0;2;51;83;74;38;47;54;3;2%;5%;-4%
xyo-network;xyo;9;26%;9%;55%;38%;0;101;110;;11;2;-130;0;3;61;72;58;35;51;48;1;0%;-3%;-9%
spell-token;spell;9;41%;8%;85%;54%;0;11;110;;11;1;-134;0;1;49;69;48;30;51;54;2;0%;2%;-5%
govi;govi;9;83%;15%;71%;86%;0;101;11;;11;16;-113;0;1;44;67;39;24;54;64;2;2%;3%;-1%
binancecoin;bnb;9;23%;11%;75%;50%;0;11;101;;11;8;-131;0;1;48;78;30;33;45;52;2;3%;2%;-4%
zelcash;flux;9;74%;11%;78%;59%;0;11;110;;11;4;-125;0;1;51;63;50;32;50;53;1;4%;-5%;-4%
measurable-data-token;mdt;9;54%;51%;69%;43%;1;111;110;;10;17;-1;0;1;57;19;48;51;63;52;1;-6%;-35%;-60%
tomochain;tomo;9;70%;51%;38%;24%;110;110;1;;10;29;1;0;0;48;36;0;52;49;36;1;17%;-4%;-11%
haven;xhv;9;84%;22%;12%;64%;10;0;11;;1;8;-99;0;1;61;26;33;39;32;48;3;-3%;10%;-19%
uniswap;uni;9;63%;11%;87%;70%;0;11;111;;11;4;-126;0;0;31;49;40;38;52;58;2;2%;8%;5%
raydium;ray;9;37%;10%;92%;73%;0;11;110;;11;0;-140;0;0;41;35;23;40;64;64;3;-3%;8%;-57%
1inch;1inch;9;66%;9%;65%;55%;0;11;110;;11;1;-134;0;1;27;67;46;33;45;53;0;1%;-2%;-3%
