tickers,cours,total_tests,ecart_BB_w,position_prix_BB_w,position_prix_BB_d,position_prix_BB_h4,ZL_MACD_hist,Tests_MM_w,Tests_MM_d,Tests_MM_h4,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_w,combo_chop,Hammer_1w,Hammer_1d,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
LDO,0.872,9.0,2.565966484607925,0.09813074264435367,0.11548503932288179,0.42405123463869904,1.0,100.0,0.0,1.0,100.0,,100.0,,50.37152119723111,,112.0,13.0,0.0,-0.4339781132113906,-0.21354017488678348,-0.49244810519784354
LEVER,0.00082,4.0,5.084294731714185,0.16771410106360582,0.06626147210341886,0.33428696645461603,101.0,0.0,0.0,0.0,0.0,,1.0,,48.818535286059344,,35.0,13.0,0.0,-0.29300300474387764,0.12689257382541946,0.7246129571987058
LINA,0.000337,2.0,33.46589410197235,0.07081863546656295,0.06903999915833677,0.016623935306028296,0.0,0.0,0.0,0.0,100.0,,100.0,oversold,32.72331055075425,uncharged,56.0,56.0,1.0,2.9443687359239763,4.353448458556393,7.362115399370203
LINK,13.62,10.0,1.6965786411251649,0.16914818747059057,0.299326850669111,0.4738525725295792,1.0,100.0,10.0,1.0,100.0,,100.0,,50.67188239950969,,35.0,31.0,1.0,-0.14602990986465547,-0.01800980287861136,-0.6105120566029288
LIT,0.743,6.0,1.5157789378260595,0.4202042840595874,0.5395865848121673,0.43143373340832236,1.0,0.0,10.0,1.0,100.0,,100.0,,58.78839484015688,,378.0,119.0,0.0,-0.3901724389135012,0.14115758661554648,8.650675577490302
LOKA,0.1002,5.0,6.960519288046431,0.22212944255597447,-0.002273778789770987,0.3544770612937339,101.0,0.0,0.0,1.0,100.0,,101.0,,40.46140594419797,,35.0,13.0,1.0,-0.6979671239450632,1.3086959975914245,0.10959736236571385
LOOM,0.04831,3.0,1.7651428784513812,0.21910834676127064,0.43902934828083595,0.17605577494151883,110.0,0.0,0.0,100.0,0.0,,11.0,,48.27754969255144,,-1.0,226.0,2.0,-0.26461606791463604,-0.7617376132898119,-0.4990493039092107
LPT,4.854,8.0,15.033480680310076,0.18609122000801798,0.08410721743946555,0.5732328458511904,100.0,0.0,0.0,11.0,0.0,,101.0,,33.135431591650686,,378.0,13.0,1.0,-0.4920490549963458,0.31781017519872423,0.4251899118731126
LQTY,0.653,6.0,11.433385158350081,0.19716811328480252,0.0461096569670547,0.264950186571762,101.0,100.0,0.0,0.0,100.0,,100.0,,36.36813164471183,,35.0,56.0,1.0,-0.2476826672016468,-0.1813385326604205,-0.3966421900401769
LRC,0.0984,7.0,5.376861723559879,0.2147704856982428,0.0705090198169283,0.39014082003387274,101.0,100.0,0.0,1.0,100.0,,100.0,,44.59694202405131,,35.0,13.0,0.0,-0.6394880417931215,0.2473372193543714,-0.3594131964787942
