tokens,tickers,cours,total_tests,ecart_BB_4d,position_prix_BB_4d,position_prix_BB_4h,position_prix_BB_30m,Tests_MM_4d,Tests_MM_4h,Tests_MM_30m,combo_rsi,Tests_RSI,Surventes_RSI_4d,Surachats RSI 4d,combo_cci,combo_chop,CHOP_4d,CHOP_4h,CHOP_30m,Charged_chop_4d,Charged_chop_4h,Charged_chop_30m,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
pax-gold,paxg,1929.92,11.0,0.007576787773775233,1.0013111932363108,0.5643712563583162,1.0013053021059688,11.0,110.0,111.0,,122.0,6.0,0.0,1,1,51.93528263495812,37.39929900198355,54.47981978037285,47.49752948034118,45.25356859792663,36.824966908115606,3.0,0.0023694663733291655,0.07538847135015894,-0.01628887126848662
paxos-standard,usdp,1.0,5.0,0.0025681884856563033,0.4573518462121244,-0.0023112986532751872,0.5890840001418864,101.0,0.0,1.0,,12.0,0.0,3.0,1,1,58.39055878957158,41.92507043389622,61.888857467005685,122.47769464658793,130.4201223679944,272.64773717427767,2.0,-2.949476547680046e-05,0.18752047192380197,0.5448818218980398
pepe,pepe,1.25e-06,5.0,0.15308138432935064,0.4469563375279846,0.6732010853915542,0.1484060075873712,101.0,10.0,0.0,,20.0,1.0,6.0,10,10,46.304921695635,46.53987998127312,36.299891407724395,25.598499492866466,25.376094074594775,0.0,3.0,0.08020646210909894,0.140962455832032,0.3933107428974134
perpetual-protocol,perp,0.693194,3.0,0.0829072265987844,0.3878126607996207,0.5312437523742429,0.03537797299548877,100.0,10.0,0.0,,10.0,0.0,18.0,10,0,69.84451627077244,44.17444973742935,26.729185813508703,43.80606415174716,35.08868981687429,4.328291185355795,2.0,0.24562201237857148,0.03184390714333588,0.08288411647975961
persistence,xprt,0.253191,8.0,0.10414955932820848,0.3253762567031227,0.7360402711716878,1.0014198631560411,100.0,110.0,111.0,,12.0,0.0,40.0,11,1,52.93764858248303,44.71955711090723,72.61117534245312,8.55103871412453,0.0,193.24233751829684,0.0,-0.0019105299175021,-0.29562781062566235,-0.15598629615666962
pha,pha,0.104568,4.0,0.04716541928591799,0.21601218310649717,0.7445135378559976,-0.0021906025098636997,100.0,11.0,0.0,,10.0,0.0,0.0,10,0,59.14229365392189,36.05480711774136,27.700024667246844,17.669386586931743,3.322852795125435,3.3022852459584158,2.0,0.0018062421860288874,0.010469252319174142,-0.0027802192119548664
phantasma,soul,0.115598,6.0,0.25939451512104744,0.1807787537817988,0.605839464319703,0.1846582956437656,100.0,10.0,1.0,,22.0,0.0,48.0,10,10,41.33708333245936,42.8887512758203,19.46873548295771,10.942897497809057,10.52081320855784,11.51876888914316,1.0,0.00717034827734366,-0.0531001344469282,-0.0513592216714384
phoenix-global,phb,0.79816,8.0,0.13607561718228256,0.7087417926790458,0.5640104585500314,0.018444277679711497,111.0,11.0,100.0,,110.0,0.0,8.0,0,0,44.19845538168974,41.99033050039433,18.562740360305536,0.0,0.0,2.34299556551305,1.0,-0.011924193270467821,-0.21014867903124415,-0.09944049721098816
pirate-chain,arrr,0.159642,4.0,0.0600177571892568,0.2626962318622229,0.3913972620836496,0.6858466982684075,0.0,1.0,10.0,,6.0,0.0,7.0,11,0,51.7078860751913,23.246500100215933,22.123299451815218,1.825872750792378,0.0,0.0,4.0,0.05056048088312615,0.06273966909797093,0.2516261900997117
pivx,pivx,0.226575,12.0,0.047555380620989025,0.7301337507913556,0.9405595314097476,0.6400740353096216,111.0,111.0,110.0,,125.0,0.0,12.0,10,1,63.14096891068829,-17.496525429534124,48.48607116903818,108.79745971634485,52.8990163494423,0.0,4.0,0.00850248195710742,0.6039134735814635,0.8120112931412828
playdapp,pla,0.213842,6.0,0.06009739148277388,0.5913191309940969,0.6597587468606697,-0.002888363226349854,111.0,110.0,0.0,,10.0,0.0,17.0,10,0,67.98175860349735,46.871403918699706,41.32215747149226,29.29146929739622,14.72813154106747,93.2782495901796,1.0,0.001154900025700515,-0.0766110440937451,-0.48790577037525273
pluton,plu,7.11,6.0,0.08512310165566325,1.003618011309463,0.3793610148659122,0.11492130735671525,111.0,100.0,0.0,,110.0,0.0,48.0,0,0,33.646800621137544,25.809395415066106,16.324321053400947,48.42240773547195,50.40829242014324,0.9806146076937381,1.0,-0.012151880943394207,-0.17536686776262025,-0.11741338671300386
pnetwork,pnt,0.162929,5.0,0.0552580030261928,0.5291745539457341,0.5327053240239128,0.10552018039420606,110.0,10.0,100.0,,10.0,0.0,35.0,10,0,68.20465639712432,49.22160332528091,23.659562665163882,68.73968123979404,62.641009113809645,2.8227014875520453,1.0,0.0013439309255194613,0.19784331026675814,0.29751794747412846
polkadot,dot,5.53,8.0,0.15650740547971162,0.488805693065878,0.7604342849645874,0.044568024878327804,110.0,111.0,100.0,,15.0,0.0,40.0,10,0,51.31452663523052,37.10718606682347,31.28839798031501,0.0,0.0,27.296380872213433,3.0,-0.0006276397619722737,0.1431508296004628,0.2318852123991541
polkastarter,pols,0.365511,4.0,0.06155269011905278,0.18668010757280804,0.6459338517458502,-0.0011630528434381734,100.0,10.0,100.0,,10.0,0.0,37.0,10,0,48.43142227645159,38.32589175415164,9.6672696322753,14.255204883574926,7.2069138990649435,16.39777688642566,3.0,0.0051098514213153605,0.10205725286552356,0.08650254162569006
polymesh,polyx,0.21131,7.0,0.05330006316908502,0.1666685934824312,0.735375471580836,0.450350830543193,0.0,11.0,110.0,,16.0,31.0,0.0,10,0,66.9583541047659,51.3048042131649,50.99206960969153,232.9380178588455,121.0023620564335,25.530513458852525,2.0,0.004100971973910791,0.18175558868734423,-0.0984048487032418
