tokens,tickers,cours,total_tests,ecart_BB_4d,position_prix_BB_4d,position_prix_BB_4h,position_prix_BB_30m,Tests_MM_4d,Tests_MM_4h,Tests_MM_30m,combo_rsi,Tests_RSI,Surventes_RSI_4d,Surachats RSI 4d,combo_cci,combo_chop,CHOP_4d,CHOP_4h,CHOP_30m,Charged_chop_4d,Charged_chop_4h,Charged_chop_30m,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
aptos,apt,7.66,5.0,0.13590158505252586,0.5041056770674001,0.7225835486856025,0.04238849533794463,110.0,10.0,100.0,,10.0,0.0,15.0,10,0,44.910139770336826,32.65590269171861,15.977683272823391,0.0,0.0,0.0,3.0,0.0054196279910717566,0.19312873041891168,0.35729224807294985
aragon,ant,5.39,10.0,0.03751604090127585,0.8805977271604034,0.6075792120066746,0.06188857083437909,111.0,111.0,100.0,,25.0,0.0,21.0,0,0,64.47303551729286,55.128489122087956,44.870858707340304,38.24904202661776,40.34898752073706,44.77171627689826,2.0,0.0006325150403438743,0.03217585482957108,-0.0005040954210544407
arbitrum,arb,1.16,9.0,0.06087735004476364,0.6323529411764705,0.8896085541415477,-0.002335984819201328,111.0,11.0,100.0,,25.0,0.0,25.0,10,0,56.50354317272169,41.625767676751344,30.78527662619853,6.372787106625111,10.001762793406243,0.0,1.0,-0.18618204495781474,0.1962351107229016,0.10730884589351201
ardor,ardr,0.101044,9.0,0.07450576060240553,0.5679591458883619,0.7674505340989416,0.367564790072046,101.0,110.0,101.0,,22.0,0.0,15.0,10,1,49.323101811059104,22.55598671900746,72.71689935315693,3.8173574693248753,4.6560852557552295,10.916899353156936,2.0,3.776018225243896,-0.33751205311201593,0.05784167386862715
ark,ark,1.44,6.0,0.39981849008069736,0.2951344306458286,0.7041241452319311,0.5195521573125217,100.0,11.0,10.0,,11.0,0.0,18.0,10,10,43.581495724117346,59.53982839414561,39.17007578135676,0.0,1.5884249313468928,0.0,2.0,1.008967565707463,0.9890791069694578,-0.4287784545544318
arpa,arpa,0.050693,6.0,0.06655099549638466,0.5026151223156912,0.7221820370307491,-0.0038274764692311876,101.0,110.0,100.0,,10.0,2.0,3.0,10,0,57.192591773050154,40.96628946492641,25.792972676055197,3.400085954128393,0.0,0.0,3.0,0.008497611749257644,0.3127441047397521,0.0010993210436127678
arweave,ar,7.42,10.0,0.09349942658440571,0.6420988817314008,0.7754610317404301,0.34741839902770566,111.0,111.0,100.0,,115.0,0.0,28.0,10,10,59.87033109700398,62.44791496474508,29.021459581446134,6.902967483741314,6.373581660362689,15.936579768431898,3.0,0.022505209534068895,0.3527886719372446,0.0660172719833822
astar,astr,0.072669,3.0,0.2811693621232513,0.42746717101623705,0.29673984316628366,-0.0018976302333580301,110.0,0.0,0.0,,5.0,0.0,35.0,0,10,26.837683176572774,62.27223684625678,25.686246835966703,7.043874852247967,5.298116982734292,0.0,3.0,0.029321907622381196,0.08491657697877623,-0.08184476634585103
atletico-madrid,atm,2.63,6.0,0.07173077830883781,0.535779153998742,0.5179028718509915,-0.002662806205748278,110.0,1.0,0.0,,115.0,0.0,16.0,0,10,33.46293996000827,62.73534001072299,37.821563788660065,0.2587548538234188,2.6073399893389464,150.55814248161946,1.0,-0.02395576138990105,0.01002745983338411,0.02578298014242484
auction,auction,8.02,6.0,0.09119784215339408,0.45585389101724944,0.7920084544145725,0.21172212974850776,110.0,111.0,0.0,,10.0,0.0,13.0,10,0,50.726109165260326,41.12608602326347,39.21885458997709,28.015272858094185,0.0,8.031841514170125,1.0,0.004194900903409103,-0.09753670879715116,0.055194299945755206
audius,audio,0.196661,6.0,0.09687862071033837,0.5757940021445468,0.6513141636069196,0.03104879090336538,110.0,110.0,100.0,,10.0,0.0,16.0,10,0,49.53256857737369,35.93043369481535,15.55335787912349,0.0,0.0,4.892469797064948,3.0,0.0022993378614521247,0.07667179026122277,0.04804014295587667
aurora-dao,idex,0.0589,5.0,0.06832729008668656,0.4013164943848925,0.7018141538498753,-0.002154594869631317,110.0,10.0,100.0,,10.0,0.0,11.0,10,0,54.78995814466461,35.18649762564882,19.631520401923876,86.37760906133272,0.0,10.94575449486345,4.0,0.03544438235615855,0.12471181649749954,0.3121013013518953
aurora-near,aurora,0.092137,6.0,0.12129922087725986,-0.0007308728479273266,1.0099892594258242,0.3011933534755918,0.0,11.0,110.0,,15.0,5.0,5.0,10,1,50.967485768337596,24.448202063993463,40.613471656949194,101.98790484261787,102.47212213664633,3.7064882407803523,2.0,-0.007103849968588064,0.24850898238777921,0.5434023603859436
aurory,aury,0.745052,8.0,0.29706952729240454,0.10637760126313817,0.8342742470814413,0.03367219255379862,100.0,111.0,110.0,,15.0,0.0,48.0,10,11,8.563575886827492,22.782138668389955,62.29617407285356,0.0,0.0,76.22212323341789,4.0,0.004578526643530129,0.09959293221238995,0.42935921767457247
automata,ata,0.099515,5.0,0.07019188358234855,0.41767107904765344,0.562512781893215,-0.0015929480373828363,110.0,10.0,100.0,,10.0,0.0,18.0,10,0,48.89199307535104,42.82503669118862,12.777924812551401,14.314052052087654,4.967203798037076,9.18702151898453,2.0,0.03762099845304523,0.07273985118915366,-0.025947216300351475
avalanche-2,avax,17.27,9.0,0.4861551444863154,0.5802460902115999,0.9657391455587525,0.3142577098551652,110.0,111.0,110.0,,15.0,0.0,43.0,10,1,21.617601457385273,11.793487463164059,49.477982197012125,2.2026074253382646,0.0,0.0,4.0,-0.03359802732829251,0.029070918860501675,0.32308104336706495
avalaunch,xava,0.373103,9.0,1.1735956255929332,0.570719865766574,0.9982616286751663,0.14901135624113213,110.0,111.0,110.0,,15.0,0.0,40.0,10,11,9.464437055500559,20.67088053512846,30.961320589631008,0.0,0.0,0.0,4.0,-0.011518415982179972,0.26626336780417015,0.27504335000163666
axelar,axl,0.42817,11.0,0.038072013794365527,0.7521663058367535,0.9542698490357266,0.9672091011300334,110.0,111.0,111.0,vente,17.0,0.0,71.0,11,1,38.35637816532654,6.137792860320515,40.31853172099105,0.0,0.0,0.0,1.0,0.0003229813346982156,-0.3024345201913522,-0.3427290178565598
axie-infinity,axs,6.46,10.0,0.08578664756524129,0.7791353491349067,0.8482217609399564,0.10412761975964512,111.0,111.0,100.0,,25.0,0.0,17.0,10,0,66.62927529602955,44.96754057446744,43.55374222857116,4.82927529602955,0.0,50.26578764210406,3.0,0.0039089584908196685,0.09340828489035845,0.08019909904747914
babb,bax,0.0002515,1.0,0.08852540960819513,0.07359894375987794,0.15381403947551847,0.25937883085477403,100.0,0.0,0.0,,0.0,0.0,50.0,11,1,41.521278865245584,9.31736835339398,58.39222668524268,4.559032430599771,4.533859912625246,6.32001923658683,2.0,0.08835069927423159,-0.39435159508655415,-0.42607696264635403
badger-dao,badger,3.77,6.0,0.2292512149908065,0.1152181820378926,0.8904786806721735,0.17712553982084372,100.0,11.0,100.0,,15.0,0.0,28.0,10,0,54.860650811803104,48.67069571111435,37.6480102180282,25.99605650901158,80.2966562599845,0.0,3.0,0.004812769161331364,0.30973816375433477,0.5662551718633383
bakerytoken,bake,0.15275,5.0,0.05486931861908185,0.5717295219450418,0.6413653270702591,-7.609137077826554e-05,1.0,10.0,0.0,,120.0,0.0,9.0,10,0,67.2634404385362,39.00045289705223,24.47583661108167,140.05035197972788,131.85039985967558,6.636075289132563,1.0,-0.04503241977257347,-0.056691217972049804,-0.13872307506678197
balancer,bal,4.11,7.0,0.06495130580291157,0.7714264539081747,0.36964623465357915,0.035323811182860175,111.0,110.0,0.0,,20.0,0.0,34.0,0,0,57.37468861162412,44.693474607145966,20.544418223420827,23.436965242678383,31.142945387501456,10.403098720509469,3.0,-0.00883259507719861,0.20689610716962953,0.15648633394541467
bancor,bnt,0.899247,3.0,1.1973437103549824,0.31648312379800103,0.35717805694826793,-0.006861034036049312,110.0,0.0,0.0,,10.0,0.0,41.0,10,10,3.678209806933954,83.37591764995463,37.0788889092064,0.0,117.76510603700476,106.00712625037458,1.0,-0.12110637788534781,-0.09756379631164193,-0.7022134118588754
band-protocol,band,1.55,7.0,0.05393588059253055,0.3900803070321746,0.7398113961083203,0.033582031059595153,110.0,11.0,100.0,,15.0,0.0,18.0,10,0,61.36003476065526,40.63834027273505,37.497343130689,0.2092333904605823,0.02877721215115514,6.019301298228811,3.0,0.1065796883204399,0.032383490679553914,0.11587294058910752
barnbridge,bond,4.5,5.0,0.10507098195506961,0.8944941771377982,0.43049063499881846,0.1277992028948151,1.0,10.0,0.0,,120.0,0.0,4.0,0,10,49.25209935274237,60.12510523938278,23.79044294418192,7.994811902002404,7.859385898257379,6.307070019293711,2.0,0.055187011464117613,-0.012276173978979845,0.042694081215486825
basic-attention-token,bat,0.239735,5.0,0.17946709579382153,0.562332832447787,0.4690644948076165,-0.001732404008233731,110.0,10.0,100.0,,10.0,0.0,28.0,0,10,33.770044613501135,47.584935507050005,33.58344036743072,2.628992433854208,0.0,21.927561381775448,2.0,0.00981831086890805,0.05071859873564459,0.006573384329838302
beefy-finance,bifi,394.58,9.0,0.1474828287389821,0.5426584357525464,0.8921505669944341,0.38705970115502286,110.0,111.0,110.0,,15.0,0.0,26.0,10,10,46.78066459736235,49.26619620322808,35.56290356210087,6.362412034643462,2.714280904386044,10.541274205446044,3.0,-0.019069629589640723,0.18455839572413868,0.3485479107342089
beldex,bdx,0.04143241,14.0,0.09201113711127745,0.8254279988406524,0.893381391075771,0.8734304094836157,111.0,111.0,111.0,vente,126.0,0.0,42.0,11,1,36.1772272602408,-2.3091845799532256,19.787099846984006,127.26656548028656,28.927859212201966,18.151429017271184,2.0,-0.02330248759603381,-0.01779022241896459,0.011776827608970798
bella-protocol,bel,0.674129,5.0,0.09123969943394097,0.5555697558222248,0.44436964356331327,-4.97120109450155e-05,110.0,10.0,0.0,,110.0,0.0,3.0,0,10,52.74774967339004,56.32873808389127,19.432049523212214,46.951814578288115,0.0,23.027254152098486,2.0,0.1760790627703884,-0.053983947417087355,0.07528322744011956
benqi,qi,0.00756424,8.0,0.37966351156941686,0.4702882053128942,0.9681745015013139,0.25236467901326787,110.0,111.0,100.0,,15.0,0.0,34.0,10,1,28.128989818215196,9.099498407055592,38.00566390314527,0.0,0.0,0.0,2.0,0.053350946735668925,0.18009733894868296,-0.1199968428560249
bepro-network,bepro,0.00094464,6.0,0.4248482911945589,0.48326555559507917,0.56509918845623,0.20073917874074987,110.0,110.0,0.0,,12.0,0.0,55.0,10,0,61.55429945856396,41.56340757137519,20.53972981021384,0.4710847587729461,0.4545568920732279,56.393086854163585,1.0,-0.0022889586262537045,-0.0452663707362893,-0.0036191208174685455
beta-finance,beta,0.075256,7.0,0.10114212924271246,0.8656936414303458,0.432913821683499,-0.0019232858306455622,111.0,110.0,0.0,,110.0,0.0,15.0,0,10,36.57731756242299,52.68705950073452,33.60678638797535,23.887392644266406,4.412970958281633,8.189261951423774,2.0,-0.01237954373362921,0.15498661508134057,0.15732655246868066
biconomy,bico,0.271506,6.0,0.059262430660300465,0.5276338505644669,0.5918390945662744,0.058796793516458556,101.0,110.0,0.0,,20.0,0.0,17.0,10,0,65.4661083341544,23.50058485603338,23.47655595117164,26.064863153728325,26.15501139280829,67.06317469042743,4.0,0.008455245160601489,2.29600050776798,1.059027149529114
bifrost,bfc,0.04592671,6.0,0.03291773105867624,0.4203307201243073,0.7406169491331411,0.13853917636169114,110.0,10.0,100.0,,110.0,0.0,6.0,10,1,67.69261865598259,52.923928890247026,63.77161411616287,309.79989452301305,245.4885722086424,100.33241839415908,3.0,0.0018156989108182246,0.0852236993836395,0.18833370352089648
bifrost-native-coin,bnc,0.296198,8.0,0.10653203633091686,0.5645332260140723,0.4399776933519849,0.9819392913156059,110.0,100.0,11.0,,17.0,0.0,42.0,1,10,44.30393726126286,51.78829286945433,43.459348954242714,27.999355260861122,0.0,0.0,2.0,-0.00914102266970617,0.24369364336623833,-0.02602993113183825
binancecoin,bnb,246.14,3.0,0.036535990330769784,0.18530620435507716,0.7476294169122875,-0.0018257704652596262,100.0,10.0,0.0,,10.0,0.0,23.0,10,0,47.24351469383343,33.71715161801348,32.07441771939898,0.0,0.0,100.6808097202363,3.0,0.023820797957327024,0.08164542802397418,0.053160058626743716
biswap,bsw,0.079117,5.0,0.1287658764647478,0.6306782373914315,0.5700084728631368,-0.0011910361900996844,10.0,110.0,0.0,,110.0,0.0,22.0,0,10,39.20099238199208,55.14127829184254,20.63511549558496,0.0,0.6289349032698794,21.125738469136664,1.0,0.08601373431614028,-0.1700559226891397,-0.2544134974442785
bitcoin,btc,36762.0,4.0,0.01715002896499002,-5.3003236167865816e-05,0.7118432554584294,-0.0021769807975328607,100.0,10.0,100.0,,10.0,0.0,17.0,10,1,67.78738718125254,21.216299477067945,45.78624210949802,124.08895943832016,114.0919044651875,100.88084019512743,4.0,-0.02635118787915875,-0.0053482656289543535,0.15484741493045825
bitcoin-cash,bch,239.12,8.0,0.030547827364355195,0.7194469989254377,0.6736804881372468,-0.00148594598979036,1.0,11.0,100.0,,125.0,0.0,7.0,0,0,64.75402071902363,37.59004784324609,27.847308478528685,75.89078356160829,125.36957335074815,10.008172817948193,3.0,0.0012857417240768327,0.08326516173865246,0.20918987485197615
bitcoin-cash-sv,bsv,52.47,9.0,0.06547545788429407,1.0145386946887274,0.5736101208781923,0.003514786002500659,111.0,11.0,100.0,,120.0,0.0,6.0,0,10,43.63475455548863,50.148171679387055,32.074681820993064,56.06469989383593,40.110885949140524,11.223159870410171,3.0,0.004009164724157117,0.047363511991379045,0.13693556147843358
bitshares,bts,0.01137763,7.0,0.07124494337424288,0.7447213490493071,0.6262708575876846,-0.0033483064652445713,111.0,110.0,0.0,,110.0,0.0,20.0,0,10,29.807230259841997,49.96734020911179,26.66088768657557,2.706215286722241,0.0,79.40522297679394,2.0,-0.0100162784229839,-0.0007872272127526188,0.03265282192873458
blockstack,stx,0.658605,5.0,0.06536438985424124,0.16873986295171808,0.8067714412935297,0.04534022767571003,0.0,11.0,100.0,,15.0,0.0,10.0,10,1,60.17177049986816,44.365003318182154,47.7345276341231,47.03015699201181,45.70857554319656,0.0,3.0,0.0027470865500876553,0.09189743309976664,0.15916606503489966
blur,blur,0.380566,4.0,0.27349139452364996,0.19224263287533436,0.44337519048999874,0.06426726983598606,100.0,10.0,100.0,,10.0,0.0,34.0,10,10,47.06147080762085,63.918132562845145,20.422024463630333,0.0,9.024292293724244,12.37960747399051,2.0,0.022297874124090032,0.004412074929708919,0.009297300433662404
bluzelle,blz,0.259729,8.0,0.08063160097650773,0.6839294251474339,0.32226872758229974,0.6228384253022549,11.0,0.0,101.0,,122.0,0.0,4.0,1,10,57.96185795360415,65.18183254175607,44.31697237048825,34.22796981174228,7.358962309531876,0.0,2.0,0.024506484680207417,0.22141515309739845,0.2052759774442923
boba-network,boba,0.141049,4.0,0.03004807271145004,0.46706616636852677,0.460787374979979,-0.001202567908017154,110.0,110.0,0.0,,0.0,0.0,42.0,0,1,80.67602035632065,36.42998320315535,37.95511566302258,59.140218783571015,78.54603240454404,0.0,3.0,0.01245640067993993,-0.033134942878993566,0.14394683026372476
bonfida,fida,0.201981,3.0,0.15371188238421513,0.15587532204916754,0.6583972009001089,-0.0015113284593901144,100.0,10.0,0.0,,10.0,0.0,12.0,10,0,41.28542725906372,39.15719329511613,30.39943431021168,52.19457082726217,0.0,5.8335937586706805,1.0,-0.03222442950124254,-0.02459897612040894,0.24599880355661324
bosagora,boa,0.00964464,7.0,0.11306069961676102,0.2692516904148311,0.8798831416238371,0.40513385548155106,100.0,11.0,110.0,,15.0,0.0,12.0,10,10,35.36006186524273,37.30188424054573,30.266426390319015,94.01213322383171,6.463224866549808,93.14878800363614,1.0,0.007469160214418659,0.047806035604498934,-0.1878902268605292
boson-protocol,boson,0.196899,8.0,0.0789262375127026,0.3190812840942482,0.8658870754714112,0.5437602963932581,100.0,11.0,110.0,,16.0,0.0,3.0,10,0,71.87047519124307,49.78597558711279,26.363464910927306,132.11223950840093,84.68925596935598,6.2033532520132155,2.0,-0.0007046434084085802,0.02324629505515983,0.027065169214375656
burger-swap,burger,0.446111,10.0,0.09242900012302752,0.9881016434822667,0.546615257221343,-0.0037775927025126624,111.0,111.0,100.0,,120.0,0.0,15.0,0,10,50.61778846575539,50.919861685292226,37.03059373403555,0.0,0.0,40.063543156619026,1.0,-0.003029387470740501,-0.017735920973802256,-0.03602765859669265
calamari-network,kma,0.00077656,6.0,0.1427704306904616,0.3714131103678993,0.5062508613132178,0.3652861039935195,110.0,10.0,100.0,,110.0,0.0,11.0,10,10,45.471775850105466,61.80763584539676,55.99651807183487,72.21366195722173,60.21209352630956,0.0,4.0,-0.0015794966489881966,0.04572799916385891,0.01219802458634832
camelot-token,grail,1626.82,7.0,0.12478813970015527,0.4339930958325774,0.6702526298779402,0.00849238605931547,101.0,110.0,100.0,,20.0,0.0,58.0,10,10,41.31841530987674,59.74220793194124,34.989553880198066,0.0,0.0,0.0,3.0,-0.003344193733381314,0.09912075714494184,0.16585947727658001
cardano,ada,0.368069,6.0,0.07976504400134563,0.09813111767633213,0.9495474435333946,0.2773274863207918,100.0,11.0,100.0,,15.0,0.0,48.0,10,1,46.7057784778406,24.521739736513027,26.83021146873228,0.8879992588125702,1.237200440080663,9.42359202119222,3.0,0.041309838110603625,0.44617491760582767,0.40316464948999164
cartesi,ctsi,0.168269,6.0,0.08219185363444184,0.48300663690967444,0.5635602824000856,0.1671429214460114,110.0,10.0,100.0,,12.0,0.0,9.0,10,0,47.68663906081318,46.11729568793669,37.44213530526805,0.0,0.0,136.70492503066328,2.0,0.00415312449494623,0.14412328748554223,0.08956336504462932
casper-network,cspr,0.03568237,4.0,0.07661207062610732,-0.0014606573005807514,0.5787773350352285,0.18637057986787242,0.0,10.0,100.0,,15.0,1.0,29.0,10,11,39.46005161000412,42.61868773566876,55.12086243968889,42.2646898615831,38.54670269983601,0.0,3.0,-0.03210321098166527,0.036870689366172854,0.026358682661865036
ceek,ceek,0.053782,6.0,0.2102589626433839,0.5953512679946514,0.457490734228283,-0.0008022795690330772,110.0,110.0,0.0,,110.0,0.0,15.0,0,10,25.918465405017113,59.92552868743646,27.97148141331148,61.095276456408946,46.96128819889111,5.996000404480959,2.0,0.02376896127898586,0.23006159260353473,-0.17909394806715287
celer-network,celr,0.01630107,11.0,0.12012223966525223,0.708485750401997,0.9325642768906764,0.1267423479576108,111.0,111.0,110.0,,115.0,0.0,17.0,10,1,56.41076057188136,32.78599584474508,38.81117916383643,0.0,0.0,0.0,3.0,0.09414867294410958,0.30053523820118494,0.3462759632647972
celo,celo,0.565117,6.0,0.08635700344450455,0.5450383398369296,0.768179705888475,-0.00021817128853934066,110.0,11.0,100.0,,10.0,0.0,15.0,10,0,50.82972452638243,43.0663395520409,29.051031353000933,31.28479622019458,34.015205639347045,0.0,3.0,-0.0230456845250963,0.14839499473319717,0.21387558408643037
centrifuge,cfg,0.549419,9.0,0.16368799589677935,0.30381672007875393,0.6621622997957056,0.6799902415966134,110.0,101.0,110.0,,16.0,0.0,20.0,10,0,64.73514856880989,49.299378117621,22.0400267659973,6.231178022378188,5.860520869801817,6.79823637692251,2.0,-0.016616443955939336,0.1534534261018572,-0.12376621290591927
cere-network,cere,0.00335799,10.0,0.07787683061202831,0.4197454860082356,0.7254093406781233,0.9421612377085898,10.0,11.0,111.0,,117.0,0.0,1.0,11,11,35.95278812283271,52.02715951292807,57.203260684395396,28.215794992090274,0.0,4.060484653741163,3.0,0.04446586634283643,-0.022164415184406348,-0.04218981420163825
certik,ctk,0.53307,7.0,0.050538180633359034,0.6135007880464787,0.6592325870525096,0.016460007156550004,110.0,11.0,100.0,,15.0,0.0,13.0,10,0,53.318852023056756,41.988110503605675,35.30188878857004,33.928053507250866,6.424043420361961,80.28612500450403,3.0,-0.012486293259885341,0.15446664605752064,0.2878419848444831
chain-2,xcn,0.00089683,6.0,0.053378230952471656,0.1955776064956068,0.739005554222697,0.6838168428481187,100.0,10.0,101.0,,12.0,0.0,19.0,10,1,57.059674175838346,30.34787878745066,56.30735485537228,51.96718918158079,17.74256454790006,220.66622382331397,3.0,0.07793759922146679,0.045701419886695294,0.5756706028572592
chaingpt,cgpt,0.050521,4.0,0.06871312912627253,0.32320225796194896,0.7257822797748453,0.23044595227114792,0.0,10.0,100.0,,12.0,0.0,5.0,10,0,62.274519606180895,23.471242127119922,19.677964582710015,19.73956352956418,17.412449121593923,0.0,3.0,0.08620972120061021,0.036627930302564976,0.058576858229406545
chainlink,link,15.13,3.0,0.12392149630422658,0.2508797979764265,0.5190386938742172,-0.004069792121889539,100.0,10.0,0.0,,10.0,0.0,46.0,10,0,46.64299194082625,45.19226732001034,23.64645669915197,0.0,0.0,12.643509519045452,2.0,0.007028031162645486,0.055731317400876425,0.08782592379403283
chainx,pcx,0.200677,7.0,0.22674794017378075,0.9796906518176935,0.14474460825643956,0.1203063564689669,111.0,100.0,0.0,,112.0,0.0,13.0,0,1,59.206060323313714,25.29303625595089,26.621075867471635,0.0,0.0,107.66199034026843,3.0,-0.0030441639029089515,0.02592079157144447,0.09930759882837108
chiliz,chz,0.083216,5.0,0.09460479005799122,0.58671157366982,0.44756359979242055,0.06802468190844277,110.0,10.0,100.0,,10.0,0.0,35.0,0,0,54.927489629802885,54.30203913769581,24.23324326066895,0.0,0.0,15.480689153985047,2.0,-0.003481795155317734,0.17379764477970056,0.02326443940698057
chromaway,chr,0.122876,4.0,0.11590540888414015,0.4366293365806935,0.6014712495587099,0.028439572189194382,110.0,10.0,0.0,,10.0,0.0,12.0,10,0,52.06971440274907,45.85716517455508,23.291010487445753,0.748220921515923,0.0,13.049687300706097,2.0,-0.009169088895243833,0.10779279418972673,0.1461569932030562
chronobank,time,17.4,4.0,0.3889766548627527,0.5734574904123687,0.4117299908107377,-0.001965380750924499,110.0,110.0,0.0,,0.0,0.0,34.0,0,10,15.509501634660175,79.98806668735998,40.660797283207785,0.0,74.67084510349775,25.644790873961234,2.0,-0.004100413166200241,0.10006413739175007,0.05826129641257038
cirus,cirus,0.01275841,10.0,0.20530101604064838,0.4257625967813458,1.1168332700541914,0.7650626446870846,10.0,111.0,110.0,,116.0,15.0,3.0,10,1,26.150398489019363,-28.202067526216435,5.997741584260786,439.5272421417957,0.0,0.0,4.0,0.09002725815680042,0.2633623100894803,1.6821363354734002
civic,cvc,0.112184,9.0,0.07091866719662138,0.7604914046537249,0.9155056978536298,0.14419189665473253,111.0,111.0,100.0,,20.0,0.0,18.0,10,1,59.053238946294115,10.72301561613788,50.743589578360094,74.51556709706077,0.0,0.0,2.0,0.004408168475120642,0.4255222447565531,1.0420693347096184
clearpool,cpool,0.02411058,9.0,0.19632065625371006,0.1011539098885905,0.9270303881986444,0.8278731542621437,100.0,11.0,111.0,,16.0,0.0,37.0,10,10,25.731795398571247,45.03891981324295,6.291979855643829,0.0,0.0,0.0,2.0,-0.0016871846533832386,0.2918004513406619,0.17848946787884848
clover-finance,clv,0.04233857,5.0,0.053560331391531255,0.34387114492126974,0.6216990184736091,-0.002330844775123527,110.0,10.0,100.0,,10.0,0.0,34.0,10,0,57.23767281499494,43.78113919160508,30.391589775842554,13.571664353740658,13.589075670403162,95.96364072181693,1.0,0.03828899673876952,-0.0853903409429024,-0.04110967311744678
cocos-bcx,cocos,0.7054,5.0,0.09828181749434282,0.6712867185367472,0.5314830839315817,0.06872736799215691,110.0,10.0,0.0,,110.0,1.0,11.0,0,0,60.24820751914426,38.97446745779588,25.970556897617353,24.49250213437203,0.0,0.0,3.0,0.08279961391877497,-0.14596120578513494,-0.06075396107906711
coin98,c98,0.184403,3.0,0.07409991095238669,0.16131207958025612,0.5835473999565562,0.055755450613827855,0.0,10.0,100.0,,10.0,0.0,14.0,10,0,62.23257500857268,41.55319650764601,13.238399035073604,42.42237272568127,39.920225009982396,0.0,3.0,0.00210739638664098,0.13248156035097536,0.24166541590067522
coinweb,cweb,0.01358319,3.0,0.07853417918147834,0.13304639825388917,0.0960739176724094,-0.00010900287793078436,100.0,10.0,0.0,,10.0,1.0,27.0,1,10,36.27363821438463,60.83606073378892,11.275378659757227,10.277144192417339,30.579986548674988,64.5012241872229,0.0,-0.0066265143683045535,-0.032473294323845325,-0.11981793663391163
compound-governance-token,comp,53.75,4.0,0.06874486019216741,0.2607418406463613,0.6961266061629893,0.14530488474705125,100.0,110.0,0.0,,10.0,0.0,19.0,10,1,60.74358998154636,40.615650607101124,44.066355648471145,0.0,0.0,14.21302313292037,2.0,-0.03684228024656284,-0.0708756346912011,-0.10090102476835053
concentrated-voting-power,cvp,0.34641,4.0,0.05846648673840256,0.47101302428693664,0.5460203504509895,0.009050253231059725,110.0,10.0,0.0,,10.0,0.0,16.0,10,0,54.55536227829912,53.113475841752056,31.035061602486902,3.3812694831731562,3.2787827591999132,26.568701149820008,3.0,0.003832354717941044,0.02741262438509131,-0.011197997394485362
concierge-io,ava,0.545347,3.0,0.074295698069458,0.12375035795586226,0.6288674109979038,-0.0016467035030641678,100.0,10.0,0.0,,10.0,0.0,15.0,10,0,68.3036460367057,59.07176990519658,35.65105799232598,94.19756379383195,129.14827133962268,12.522048453210118,2.0,-0.07124677726509115,0.06667507603618057,0.33201372328564677
concordium,ccd,0.00543336,9.0,0.024312167094040535,-0.0012695451054241438,0.8453556144562422,0.8395125883432858,0.0,11.0,111.0,,116.0,18.0,0.0,10,0,42.86358199005258,23.184930109950695,19.46403734729629,24.171977859154126,19.192874417671398,182.8452041053767,3.0,0.03376872701831042,0.0743209055991962,-0.09855702486540648
conflux-token,cfx,0.169522,6.0,0.12788619121589376,0.2815986761430863,0.72142287913182,-0.004561332363793569,100.0,11.0,100.0,,15.0,0.0,15.0,10,0,46.602480422219465,43.20240908747838,26.293141611523275,0.0,0.0,0.0,2.0,0.5456722243525384,0.002800613815124211,0.15631797776738865
constellation-labs,dag,0.03982532,9.0,0.3873534512824855,0.7038551998574283,0.7734528681483783,0.17867795944595097,110.0,111.0,100.0,,115.0,0.0,26.0,10,11,23.36028510903294,53.23334949995412,53.768578647347596,0.31054103724172677,0.8272459126614891,0.0,1.0,0.015418002897709442,-0.12254258168702153,0.03063939415631556
constitutiondao,people,0.01408896,3.0,0.12878389936136325,0.5612832647631548,0.38920629068443713,0.06297512560868272,110.0,0.0,0.0,,10.0,0.0,26.0,0,0,59.10070626509068,54.22530659339708,23.159579706650387,0.0,0.0,0.0,2.0,0.24165967189918697,0.06926132614936056,0.020522123686046393
contentos,cos,0.00567621,7.0,0.05017841298248906,0.46963513930558864,0.7591376798885965,-0.0063657697144230375,110.0,111.0,100.0,,10.0,0.0,32.0,10,1,55.63195379164577,32.57095242762448,46.72868725334028,182.61743231005826,0.0,90.4461133982972,1.0,0.007655679274337927,-0.019721958292676735,-0.15548357387922485
convex-finance,cvx,3.91,9.0,0.0710827862200612,0.7001839487329031,0.8242721253561497,0.13446700627520905,111.0,111.0,100.0,,15.0,0.0,50.0,10,0,59.57712622485525,43.419629523963316,42.85160306069578,0.0,0.0,9.198294739842723,2.0,0.01594493807701929,0.10042786225812232,0.16803651901950029
cortex,ctxc,0.141635,7.0,0.06377550520550239,0.19537678818024967,0.7457342788413084,0.18273333502268369,100.0,111.0,100.0,,12.0,0.0,11.0,10,1,59.29155225087273,30.607707902995866,39.07440208209054,0.7177007074228925,0.6815579015212379,14.588197976466773,2.0,0.31893295110528047,-0.03248521471230844,-0.260112233161302
cosmos,atom,9.75,9.0,0.14931143741654393,0.7222080659814459,0.7460261053230227,0.002173117736895434,110.0,111.0,100.0,,115.0,0.0,39.0,10,10,24.00958754760885,38.5697573142845,36.357383706981885,0.0,0.0,0.0,1.0,-0.011176999033605806,-0.08148621764034167,-0.04082590921830705
